mq2,mq4,mq6,mq8,temperature,humidity,threat_level
454.5212437317225,273.1858193362617,374.4389226893473,188.74643350623595,25.01703218564687,62.97398288484155,0
424.9351592305774,259.7486364428862,229.58864344678022,168.01026140882948,18.237776843135265,55.90376843859485,0
437.37942316463125,333.73325183590293,518.5041328135206,219.63383157715205,28.4724030954426,80.71884429775366,0
460.95676700086733,405.14998753051714,460.65009624151065,149.0612694034429,22.774515929231487,60.99656062588306,0
526.4665402069608,348.2596575549638,353.6196051154879,229.09077112891026,19.572924377384446,76.98023616169556,0
386.01172418819567,315.9636935154206,540.0870977131107,168.11193159217405,27.312774555212435,83.04416987828421,0
467.50493702852543,319.2997822117962,388.41881760276004,197.05016625406319,30.833895774159316,84.68388266761288,0
439.43295300425467,347.38170953059375,343.7590987276048,167.65137968961446,24.805932113801347,63.56909053974221,0
517.8879367293357,319.0875816306832,409.9769871455537,152.22391840937783,29.572472369887656,71.26986843057333,0
428.8171497336202,376.66140204891167,303.62817716003906,216.03236200647285,31.339840823162763,51.944342518496114,0
476.27136194031095,445.89991795075656,389.240818440207,109.21958140278264,28.6902840240706,60.299879597343754,0
391.4020273997074,225.36539056135814,332.4392050834696,201.14571221703613,17.00142327300076,64.58779046362125,0
625.638073723396,122.23321365961846,223.2607362426683,103.00701457545456,29.778274586078822,48.79410545042824,0
386.1437024406231,275.024558857922,360.87791626741216,200.3468663511243,20.664113269311148,46.064795614902046,0
437.29985863297105,342.37200440153833,223.04311812226027,174.2642586215111,24.735221718934724,59.34026182817064,0
347.7509918144077,252.85608031453293,394.3053625614162,224.61448563932237,30.279929424247925,66.15298875474,0
607.7404994057628,319.18354234956064,501.77614406717873,235.89494563028612,28.79825510196043,53.41636740207211,0
477.6872256503564,202.1277072837892,403.38733185463406,255.37840595151118,26.472813161952576,59.10116142968159,0
404.0513635135786,350.45391851001307,411.1885196988137,196.2356679743742,23.733789408554482,60.078620375321215,0
542.9591534670581,292.837436963944,489.2947639126735,278.5419248807346,26.44789011412892,75.31085853337996,0
481.1696792052137,447.99864802635176,547.1467612824963,416.286783409458,29.604756253877188,65.01525279486526,0
1767.4384144635253,1019.5085821416674,1149.6070931830068,754.3193544907257,62.504159354486674,-23.61728378952003,1
307.81394117334804,187.34299347273574,372.05432408107515,222.90067520184493,18.948136250502372,69.90831938093646,0
519.6444880995662,178.1705516331196,284.8256335794972,263.2125137694101,34.62426045142159,37.78898914151727,0
564.1924847824197,100.38852272236821,397.8622185125357,227.61126287070957,23.6717873531347,39.45718255380411,0
536.8058169962435,269.21136091362195,538.3689776132426,235.36707080666918,18.13733590089663,52.03041178902282,0
517.1924273188177,201.05222384011302,394.46278142427764,142.77486025448113,19.200806244186367,60.621267865388965,0
550.2855881435008,356.2170297910057,371.8023756864511,187.91426865209257,25.413415772035535,69.02779196194876,0
342.10964380866426,366.8987204101096,382.2025365174459,114.06673466384535,32.491441549681646,60.68902834342058,0
521.1803857184802,157.12667660701976,334.723852759908,238.57922965876048,26.873591660691964,64.16614231837836,0
419.0777704049549,351.972711693899,475.4841513492309,215.0218931448533,25.748021235401367,56.63789661405297,0
747.1640172211293,236.22393529852582,439.3203702391646,301.20619577243093,24.072244681893658,55.553840460784635,0
473.50324275578834,247.19488951324186,496.82331363839546,135.99988726469797,25.674529362475337,75.1855107478347,0
480.57972332053885,359.82427850149276,455.48426837629285,200.58054756466564,31.426594123382422,54.089919634320346,0
481.35020800150204,254.82794998683516,479.71003633985265,270.56759317279324,27.773254552280694,73.90895322960242,0
579.9231090011023,264.06170332921306,293.6805686131779,248.86256572134258,31.360098285677473,61.671245675531964,0
632.9624545860868,2106.7866334492965,1628.867125992366,1471.3658762689824,56.23113337120819,21.583805548135288,1
512.1016606577168,396.18530111840937,343.8317768483737,234.80791170686737,24.913052360195348,64.89600234490659,0
514.1818415073828,306.3656141326947,453.8195065784485,225.46288594746693,25.404016339749237,44.275172812475304,0
564.5377121537634,337.77115745787455,360.79680108839034,151.00968209904744,28.718373050059263,38.0710954712944,0
432.80106307369203,394.73863636968906,325.27698359562635,237.47581541537892,25.266698486029792,55.52124880111706,0
409.77078032644664,193.28947709204272,459.2025064160941,186.53460032268558,23.50298794610404,62.57236030124146,0
473.2339917910723,370.14456459606765,541.11440459864,144.30651349842654,24.571339901346914,59.818213252553676,0
466.5568469967935,226.90548717931594,440.3780335221134,232.6701074974616,35.28772220970021,65.23508705753194,0
564.5941400339048,389.19430727174375,347.49073127381206,237.63775882836666,30.82871235558333,52.19001637551965,0
292.0496416414893,340.12807257602367,427.8937629138244,236.77285785541454,20.15781417207718,47.51425013951617,0
588.0968428046239,284.4874502938746,433.117039319868,184.7728348158347,16.792222613595136,59.15499908605598,0
483.59790422767475,335.1560192717461,415.15631095100906,202.89342242728898,24.90002660418027,50.95767427622855,0
496.35785719534823,379.2479104936207,399.8786497763378,133.62178069095012,20.086542932070625,68.97990784248589,0
500.0555922711892,363.11514951542785,329.4791847573417,243.02953379129795,34.756435141294645,60.45351832511204,0
650.550581928517,170.14793326858916,387.3273411365708,223.62432376045788,30.86444042036759,59.75822033920118,0
444.62629869326145,461.1222074189788,332.8337486560002,109.99294928117223,24.283616607002198,58.35535388302928,0
600.3172707203851,174.42277580042648,183.49827571283245,144.42919530043974,28.93700940270554,71.73171744672553,0
544.856578546422,323.4972631299667,515.8853194528364,176.8993726036495,25.686145431208566,60.89014068217944,0
752.1473888925802,325.1799506629488,275.20604722172425,191.3188041263208,23.857265298373893,69.74072554070622,0
522.02970153198,296.4675172645404,366.43045167572575,168.90873054271094,24.630601290011032,68.0062848788582,0
474.9471680517403,269.35732138622615,192.330255908241,179.6367742705521,22.24954025985663,66.95457018178195,0
469.0325312050677,387.6311946888794,312.53576924105477,220.8930888637216,19.633429582049676,65.51403742808166,0
707.2285487032808,382.3414145743902,392.7064659420537,257.425646798512,23.561992920406805,68.20125825963278,0
579.8476988760772,430.0156609570424,557.6332944311041,164.03358088398377,15.687937041520124,63.141949498548705,0
534.7037280316501,182.06262781154788,412.08635257279207,170.85963702093247,22.010098923316434,73.10878492337181,0
532.2330168024818,178.98823191090054,320.27424244584273,165.07751573106185,26.30356238684776,53.58212403853938,0
677.8339000487556,236.62022522406176,552.3796116937086,202.54923569258978,22.700673244984184,73.09547983613162,0
534.0284469075567,216.36964971683852,415.9639110445891,173.74611119872293,20.85149812820113,56.6536248134165,0
412.32462505050967,222.85175006495896,456.09277958064126,135.38378627809976,24.631856767611392,36.94004862983884,0
